Datum;Jahr;Wohnviertel;Wohnviertel-ID;Gemeinde;Geschlecht;Alter;Staatsangehoerigkeit;Anzahl
31.12.2020;2020;Hirzbrunnen;15;Basel;M;46;A;16
31.12.2020;2020;Hirzbrunnen;15;Basel;M;47;CH;33
31.12.2020;2020;Hirzbrunnen;15;Basel;M;53;CH;37
31.12.2020;2020;Hirzbrunnen;15;Basel;M;55;CH;35
31.12.2020;2020;Hirzbrunnen;15;Basel;M;58;CH;36
31.12.2020;2020;Hirzbrunnen;15;Basel;M;68;CH;26
31.12.2020;2020;Hirzbrunnen;15;Basel;M;70;A;7
31.12.2020;2020;Hirzbrunnen;15;Basel;M;74;CH;44
31.12.2020;2020;Hirzbrunnen;15;Basel;M;75;A;5
31.12.2020;2020;Breite;4;Basel;W;73;A;4
31.12.2020;2020;Breite;4;Basel;W;74;CH;45
31.12.2020;2020;Breite;4;Basel;W;76;CH;42
31.12.2020;2020;Breite;4;Basel;W;82;A;2
31.12.2020;2020;Breite;4;Basel;W;87;CH;40
31.12.2020;2020;Breite;4;Basel;W;90;A;1
31.12.2020;2020;Breite;4;Basel;W;90;CH;30
31.12.2020;2020;Bruderholz;7;Basel;M;4;A;23
31.12.2020;2020;Bruderholz;7;Basel;M;9;CH;35
31.12.2020;2020;Bruderholz;7;Basel;M;10;CH;54
31.12.2020;2020;Bruderholz;7;Basel;M;18;A;9
31.12.2020;2020;Bruderholz;7;Basel;M;23;CH;24
31.12.2020;2020;Bruderholz;7;Basel;M;28;A;11
31.12.2020;2020;Bruderholz;7;Basel;M;28;CH;25
31.12.2020;2020;Bruderholz;7;Basel;M;33;CH;26
31.12.2020;2020;Bruderholz;7;Basel;M;34;A;14
31.12.2020;2020;Bruderholz;7;Basel;M;36;CH;27
31.12.2020;2020;Bruderholz;7;Basel;M;38;CH;27
31.12.2020;2020;Bruderholz;7;Basel;M;41;A;27
31.12.2020;2020;Bruderholz;7;Basel;M;42;A;20
31.12.2020;2020;Bruderholz;7;Basel;M;70;CH;38
31.12.2020;2020;Bruderholz;7;Basel;M;73;A;4
31.12.2020;2020;Bruderholz;7;Basel;M;73;CH;38
31.12.2020;2020;Bruderholz;7;Basel;M;76;CH;34
31.12.2020;2020;Bruderholz;7;Basel;M;78;CH;28
31.12.2020;2020;Bruderholz;7;Basel;M;79;A;1
