alter;anzahl
0;201971
1;200149
2;198256
3;196387
4;194440
5;192540
6;190675
7;188861
8;187135
9;185315
10;183611
11;181876
12;180240
13;178648
14;177076
15;175545
16;174001
17;172461
18;170967
19;169427
20;167837
21;165989
22;163978
23;161764
24;159391
25;156626
26;153815
27;150756
28;147494
29;144140
30;140647
31;136959
32;133354
33;129700
34;126246
35;122650
36;119273
37;115894
38;112525
39;109222
40;105949
41;102721
42;99819
43;96970
44;94118
45;91282
46;88610
47;85878
48;83318
49;80780
50;78207
51;75629
52;72913
53;70152
54;67404
55;64479
56;61603
57;58662
58;55891
59;53207
60;50610
61;47956
62;45533
63;43242
64;41026
65;38800
66;36804
67;34886
68;32985
69;31134
70;29376
71;27554
72;25774
73;24020
74;22345
75;20705
76;19102
77;17589
78;16050
79;14527
80;13113
81;11833
82;10609
83;9470
84;8309
85;7298
86;6257
87;5341
88;4526
89;3708
90;3000
91;2354
92;1801
93;1338
94;974
95;702
96;497
97;319
98;199
99;120
100;75
101;39
102;26
103;15
104;8
105;2
106;1
107;0
108;0
109;0
